,full_name,age_201718,birthday,league_201718,season_201718,position_201718,Current Club_201718,minutes_played_overall_201718,nationality_201718,appearances_overall_201718,goals_overall_201718,assists_overall_201718,penalty_goals_201718,penalty_misses_201718,clean_sheets_overall_201718,conceded_overall_201718,yellow_cards_overall_201718,red_cards_overall_201718,goals_involved_per_90_overall_201718,assists_per_90_overall_201718,goals_per_90_overall_201718,min_per_goal_overall_201718,conceded_per_90_overall_201718,min_per_conceded_overall_201718,min_per_match_201718,min_per_card_overall_201718,min_per_assist_overall_201718,cards_per_90_overall_201718,rank_in_league_top_attackers_201718,rank_in_league_top_midfielders_201718,rank_in_league_top_defenders_201718,rank_in_club_top_scorer_201718,age_201819,league_201819,season_201819,position_201819,Current Club_201819,minutes_played_overall_201819,nationality_201819,appearances_overall_201819,goals_overall_201819,assists_overall_201819,penalty_goals_201819,penalty_misses_201819,clean_sheets_overall_201819,conceded_overall_201819,yellow_cards_overall_201819,red_cards_overall_201819,goals_involved_per_90_overall_201819,assists_per_90_overall_201819,goals_per_90_overall_201819,min_per_goal_overall_201819,conceded_per_90_overall_201819,min_per_conceded_overall_201819,min_per_match_201819,min_per_card_overall_201819,min_per_assist_overall_201819,cards_per_90_overall_201819,rank_in_league_top_attackers_201819,rank_in_league_top_midfielders_201819,rank_in_league_top_defenders_201819,rank_in_club_top_scorer_201819,age_201920,league_201920,season_201920,position_201920,Current Club_201920,minutes_played_overall_201920,nationality_201920,appearances_overall_201920,goals_overall_201920,assists_overall_201920,penalty_goals_201920,penalty_misses_201920,clean_sheets_overall_201920,conceded_overall_201920,yellow_cards_overall_201920,red_cards_overall_201920,goals_involved_per_90_overall_201920,assists_per_90_overall_201920,goals_per_90_overall_201920,min_per_goal_overall_201920,conceded_per_90_overall_201920,min_per_conceded_overall_201920,min_per_match_201920,min_per_card_overall_201920,min_per_assist_overall_201920,cards_per_90_overall_201920,rank_in_league_top_attackers_201920,rank_in_league_top_midfielders_201920,rank_in_league_top_defenders_201920,rank_in_club_top_scorer_201920
142,David Silva,34,505526400,Premier League,2017/2018,Midfielder,Manchester City,2437,Spain,29,9,11,0,0,15,17,5,0,0.74,0.41,0.33,271,0.63,143,84,487,222,0.18,46,7,-1,5,34.0,Premier League,2018/2019,Midfielder,Manchester City,2411.0,Spain,33.0,6.0,8.0,0.0,0.0,17.0,14.0,3.0,0.0,0.52,0.3,0.22,402.0,0.52,172.0,73.0,804.0,301.0,0.11,88.0,22.0,-1.0,7.0,34.0,Premier League,2019/2020,Midfielder,Manchester City,1833.0,Spain,27.0,6.0,10.0,0.0,0.0,11.0,14.0,0.0,0.0,0.79,0.49,0.29,306.0,0.69,131.0,68.0,0.0,183.0,0.0,54.0,5.0,-1.0,7.0
143,Davide Zappacosta,28,708220800,Premier League,2017/2018,Defender,Chelsea,1095,Italy,22,1,1,0,0,10,12,0,0,0.16,0.08,0.08,1095,0.99,91,50,0,1095,0.0,178,159,51,13,28.0,Premier League,2018/2019,Defender,Chelsea,125.0,Italy,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Davinson Sánchez Mina,24,834537600,Premier League,2017/2018,Defender,Tottenham Hotspur,2534,Colombia,31,0,0,0,0,14,20,2,1,0.0,0.0,0.0,0,0.71,127,82,845,0,0.11,271,253,15,14,24.0,Premier League,2018/2019,Defender,Tottenham Hotspur,1943.0,Colombia,23.0,1.0,1.0,0.0,0.0,6.0,21.0,2.0,0.0,0.09,0.05,0.05,1943.0,0.97,93.0,84.0,972.0,1943.0,0.09,221.0,208.0,26.0,13.0,24.0,Premier League,2019/2020,Defender,Tottenham Hotspur,2430.0,Colombia,29.0,0.0,0.0,0.0,0.0,4.0,34.0,6.0,0.0,0.0,0.0,0.0,0.0,1.26,71.0,84.0,405.0,0.0,0.22,413.0,383.0,77.0,21.0
145,Davy Klaassen,27,730252800,Premier League,2017/2018,Midfielder,Everton,250,Netherlands,7,0,0,0,0,2,6,0,0,0.0,0.0,0.0,0,2.16,42,36,0,0,0.0,-1,-1,-1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Davy Pröpper,29,683769600,Premier League,2017/2018,Midfielder,Brighton & Hove Albion,3120,Netherlands,35,0,4,0,0,9,48,3,1,0.12,0.12,0.0,0,1.38,65,89,780,780,0.12,370,107,-1,10,29.0,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2551.0,Netherlands,30.0,1.0,1.0,0.0,0.0,5.0,44.0,2.0,0.0,0.07,0.04,0.04,2551.0,1.55,58.0,85.0,1276.0,2551.0,0.07,241.0,226.0,-1.0,10.0,29.0,Premier League,2019/2020,Midfielder,Brighton & Hove Albion,2830.0,Netherlands,35.0,1.0,2.0,0.0,0.0,8.0,43.0,4.0,0.0,0.1,0.06,0.03,2830.0,1.37,66.0,81.0,708.0,1415.0,0.13,248.0,205.0,-1.0,9.0
147,Dean Marney,36,444355200,Premier League,2017/2018,Midfielder,Burnley,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Dean Whitehead,38,380419200,Premier League,2017/2018,Midfielder,Huddersfield Town,67,England,4,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0,2.69,34,17,0,0,0.0,-1,-1,-1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,DeAndre Yedlin,27,742176000,Premier League,2017/2018,Defender,Newcastle United,2842,USA,34,0,2,0,0,7,36,5,0,0.06,0.06,0.0,0,1.14,79,84,568,1421,0.16,290,188,63,25,27.0,Premier League,2018/2019,Defender,Newcastle United,2475.0,USA,29.0,1.0,2.0,0.0,0.0,6.0,37.0,7.0,1.0,0.11,0.07,0.04,2475.0,1.35,67.0,85.0,309.0,1238.0,0.29,237.0,177.0,93.0,13.0,27.0,Premier League,2019/2020,Defender,Newcastle United,934.0,USA,16.0,1.0,0.0,0.0,0.0,4.0,14.0,3.0,0.0,0.1,0.0,0.1,934.0,1.35,67.0,58.0,311.0,0.0,0.29,158.0,320.0,104.0,14.0
150,Declan Rice,21,916272000,Premier League,2017/2018,Midfielder,West Ham United,1422,Republic of Ireland,26,0,0,0,0,6,26,1,0,0.0,0.0,0.0,0,1.65,55,55,1422,0,0.06,258,376,-1,22,21.0,Premier League,2018/2019,Midfielder,West Ham United,3005.0,Republic of Ireland,34.0,2.0,0.0,0.0,0.0,6.0,42.0,4.0,0.0,0.06,0.0,0.06,1503.0,1.26,72.0,88.0,751.0,0.0,0.12,210.0,362.0,-1.0,9.0,21.0,Premier League,2019/2020,Midfielder,West Ham United,3420.0,Republic of Ireland,38.0,1.0,3.0,0.0,0.0,7.0,59.0,6.0,0.0,0.11,0.08,0.03,3420.0,1.55,58.0,90.0,570.0,1140.0,0.16,251.0,158.0,-1.0,15.0
151,Dejan Lovren,31,615600000,Premier League,2017/2018,Defender,Liverpool,2124,Croatia,29,2,1,0,0,13,21,4,0,0.13,0.04,0.08,1062,0.89,101,73,531,2124,0.17,169,212,40,7,31.0,Premier League,2018/2019,Defender,Liverpool,985.0,Croatia,13.0,1.0,0.0,0.0,0.0,6.0,7.0,1.0,0.0,0.09,0.0,0.09,985.0,0.64,141.0,76.0,985.0,0.0,0.09,173.0,324.0,15.0,12.0,31.0,Premier League,2019/2020,Defender,Liverpool,777.0,Croatia,10.0,0.0,1.0,0.0,0.0,2.0,11.0,1.0,0.0,0.12,0.12,0.0,0.0,1.27,71.0,78.0,777.0,777.0,0.12,259.0,116.0,83.0,21.0
152,Dele Alli,24,829180800,Premier League,2017/2018,Midfielder,Tottenham Hotspur,2972,England,36,9,10,0,0,15,26,7,0,0.58,0.3,0.27,330,0.79,114,83,425,297,0.21,63,19,-1,4,24.0,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1827.0,England,25.0,5.0,3.0,0.0,0.0,7.0,17.0,4.0,0.0,0.39,0.15,0.25,365.0,0.84,107.0,73.0,457.0,609.0,0.2,82.0,97.0,-1.0,5.0,24.0,Premier League,2019/2020,Midfielder,Tottenham Hotspur,1853.0,England,25.0,8.0,4.0,1.0,0.0,4.0,24.0,2.0,0.0,0.58,0.19,0.39,232.0,1.17,77.0,74.0,927.0,463.0,0.1,38.0,57.0,-1.0,3.0
153,Demarai Gray,24,835920000,Premier League,2017/2018,Midfielder,Leicester City,1690,England,35,3,1,0,0,9,32,2,0,0.21,0.05,0.16,563,1.7,53,48,845,1690,0.11,113,209,-1,6,24.0,Premier League,2018/2019,Midfielder,Leicester City,1992.0,England,34.0,4.0,1.0,0.0,0.0,8.0,26.0,2.0,0.0,0.23,0.05,0.18,498.0,1.17,77.0,59.0,996.0,1992.0,0.09,103.0,212.0,-1.0,3.0,24.0,Premier League,2019/2020,Midfielder,Leicester City,607.0,England,21.0,2.0,3.0,0.0,1.0,8.0,4.0,1.0,0.0,0.74,0.44,0.3,304.0,0.59,152.0,29.0,607.0,202.0,0.15,52.0,7.0,-1.0,9.0
154,Diafra Sakho,30,630460800,Premier League,2017/2018,Forward,West Ham United,292,Senegal,14,2,0,0,0,5,9,2,0,0.62,0.0,0.62,146,2.77,32,21,146,0,0.62,9,375,-1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Didier Ndong Ibrahim,26,771811200,Premier League,2017/2018,Midfielder,Watford,0,Gabon,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Diego Cavalieri,38,407548800,Premier League,2017/2018,Goalkeeper,Crystal Palace,0,Brazil,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Dion Henry,23,874022400,Premier League,2017/2018,Goalkeeper,Crystal Palace,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Divock Origi,25,798163200,Premier League,2017/2018,Forward,Liverpool,9,Belgium,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,9,0,0,0.0,-1,-1,-1,24,25.0,Premier League,2018/2019,Forward,Liverpool,366.0,Belgium,12.0,3.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.98,0.25,0.74,122.0,0.49,183.0,31.0,0.0,366.0,0.0,2.0,42.0,-1.0,7.0,25.0,Premier League,2019/2020,Forward,Liverpool,704.0,Belgium,28.0,4.0,1.0,0.0,0.0,11.0,12.0,1.0,0.0,0.64,0.13,0.51,176.0,1.53,59.0,25.0,704.0,704.0,0.13,19.0,95.0,-1.0,5.0
159,Dodi Lukebakio,23,875059200,Premier League,2017/2018,Midfielder,Watford,15,Belgium,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,6.0,15,15,0,0,0.0,-1,-1,-1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Domingos Quina,21,942883200,Premier League,2017/2018,Midfielder,West Ham United,0,Portugal,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,21.0,Premier League,2018/2019,Midfielder,Watford,335.0,Portugal,8.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.27,0.0,0.27,335.0,1.34,67.0,42.0,0.0,0.0,0.0,72.0,316.0,-1.0,13.0,21.0,Premier League,2019/2020,Midfielder,Watford,18.0,Portugal,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,18.0
161,Dominic Calvert-Lewin,23,858470400,Premier League,2017/2018,Forward,Everton,1874,England,32,4,6,0,0,9,26,4,0,0.48,0.29,0.19,469,1.25,72,59,469,312,0.19,98,21,-1,5,23.0,Premier League,2018/2019,Forward,Everton,1774.0,England,35.0,6.0,2.0,0.0,0.0,13.0,24.0,3.0,0.0,0.41,0.1,0.3,296.0,1.22,74.0,51.0,591.0,887.0,0.15,65.0,145.0,-1.0,3.0,23.0,Premier League,2019/2020,Forward,Everton,2630.0,England,36.0,13.0,1.0,0.0,0.0,8.0,38.0,9.0,0.0,0.48,0.03,0.44,202.0,1.3,69.0,73.0,292.0,2630.0,0.31,28.0,253.0,-1.0,2.0
162,Dominic Solanke,23,874195200,Premier League,2017/2018,Forward,Liverpool,582,England,21,1,1,0,0,11,3,0,0,0.31,0.15,0.15,582,0.46,194,28,0,582,0.0,126,83,-1,11,23.0,Premier League,2018/2019,Forward,AFC Bournemouth,341.0,England,10.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.26,0.26,0.0,0.0,1.06,85.0,34.0,0.0,341.0,0.0,280.0,38.0,-1.0,16.0,23.0,Premier League,2019/2020,Forward,AFC Bournemouth,1643.0,England,32.0,3.0,1.0,0.0,0.0,3.0,37.0,1.0,0.0,0.22,0.05,0.16,548.0,2.03,44.0,51.0,1643.0,1643.0,0.05,103.0,218.0,-1.0,6.0
163,Dujon Sterling,21,940723200,Premier League,2017/2018,Defender,Chelsea,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Dušan Tadić,32,595987200,Premier League,2017/2018,Midfielder,Southampton,2812,Serbia,36,6,3,1,0,8,40,4,0,0.29,0.1,0.19,469,1.28,70,78,703,937,0.13,99,133,-1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Dwight Gayle,30,656121600,Premier League,2017/2018,Forward,Newcastle United,1961,England,35,6,3,0,0,7,30,3,0,0.41,0.14,0.28,327,1.38,65,56,654,654,0.14,60,88,-1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,Premier League,2019/2020,Forward,Newcastle United,848.0,England,20.0,4.0,2.0,0.0,0.0,4.0,14.0,2.0,0.0,0.64,0.21,0.42,212.0,1.49,61.0,42.0,424.0,424.0,0.21,30.0,48.0,-1.0,2.0
166,Dwight McNeil,21,943228800,Premier League,2017/2018,Forward,Burnley,0,England,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,21.0,Premier League,2018/2019,Forward,Burnley,1599.0,England,21.0,3.0,5.0,0.0,0.0,4.0,22.0,2.0,0.0,0.45,0.28,0.17,533.0,1.24,73.0,76.0,800.0,320.0,0.11,112.0,29.0,-1.0,7.0,21.0,Premier League,2019/2020,Forward,Burnley,3345.0,England,38.0,2.0,6.0,0.0,0.0,15.0,47.0,5.0,0.0,0.22,0.16,0.05,1673.0,1.26,71.0,88.0,669.0,558.0,0.13,219.0,79.0,-1.0,4.0
167,Eden Hazard,29,663206400,Premier League,2017/2018,Midfielder,Chelsea,2433,Belgium,34,12,4,2,0,14,26,2,0,0.59,0.15,0.44,203,0.96,94,72,1217,608,0.07,26,87,-1,1,29.0,Premier League,2018/2019,Midfielder,Chelsea,2926.0,Belgium,37.0,16.0,15.0,4.0,0.0,15.0,34.0,2.0,0.0,0.95,0.46,0.49,183.0,1.05,86.0,79.0,1463.0,195.0,0.06,18.0,5.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Ederson,27,745545600,Premier League,2017/2018,Goalkeeper,Manchester City,3195,Brazil,36,0,0,0,0,17,24,1,0,0.0,0.0,0.0,0,0.68,133,89,3195,0,0.03,358,362,12,17,27.0,Premier League,2018/2019,Goalkeeper,Manchester City,3420.0,Brazil,38.0,0.0,1.0,0.0,0.0,20.0,23.0,2.0,0.0,0.03,0.03,0.0,0.0,0.61,149.0,90.0,1710.0,3420.0,0.05,366.0,240.0,13.0,21.0,27.0,Premier League,2019/2020,Goalkeeper,Manchester City,3072.0,Brazil,35.0,0.0,0.0,0.0,0.0,16.0,24.0,4.0,1.0,0.0,0.0,0.0,0.0,0.7,128.0,88.0,614.0,0.0,0.15,357.0,278.0,6.0,18.0
169,Edimilson Fernandes,24,829526400,Premier League,2017/2018,Midfielder,West Ham United,846,Switzerland,14,0,1,0,0,2,18,1,0,0.11,0.11,0.0,0,1.91,47,60,846,846,0.11,299,124,-1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Eduardo dos Reis Carvalho,38,401241600,Premier League,2017/2018,Goalkeeper,Chelsea,0,Portugal,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Edward Nketiah,21,928022400,Premier League,2017/2018,Forward,Arsenal,17,England,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,6,0,0,0.0,-1,-1,-1,18,21.0,Premier League,2018/2019,Forward,Arsenal,62.0,England,5.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.45,0.0,1.45,62.0,2.9,31.0,12.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,14.0,21.0,Premier League,2019/2020,Forward,Arsenal,648.0,England,13.0,2.0,0.0,0.0,0.0,6.0,8.0,1.0,1.0,0.28,0.0,0.28,324.0,1.11,81.0,50.0,324.0,0.0,0.28,56.0,316.0,-1.0,5.0
172,Eldin Jakupovic,36,465523200,Premier League,2017/2018,Goalkeeper,Leicester City,180,Switzerland,2,0,0,0,0,0,6,0,0,0.0,0.0,0.0,0,3.0,30,90,0,0,0.0,-1,-1,-1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Eliaquim Mangala,29,666403200,Premier League,2017/2018,Defender,Everton,618,France,11,0,0,0,0,5,6,0,0,0.0,0.0,0.0,0,0.87,103,56,0,0,0.0,361,326,36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Elias Kachunga,28,703900800,Premier League,2017/2018,Forward,Huddersfield Town,1338,Congo DR,19,1,1,0,0,6,22,1,0,0.13,0.07,0.07,1338,1.48,61,70,1338,1338,0.07,189,171,-1,7,28.0,Premier League,2018/2019,Forward,Huddersfield Town,1181.0,Congo DR,20.0,0.0,0.0,0.0,0.0,2.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,2.13,42.0,59.0,591.0,0.0,0.15,303.0,259.0,-1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Emerson Hyndman,24,829008000,Premier League,2017/2018,Midfielder,AFC Bournemouth,59,USA,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,1.53,59,59,0,0,0.0,-1,-1,-1,22,24.0,Premier League,2018/2019,Midfielder,AFC Bournemouth,37.0,USA,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86,19.0,37.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Emerson Palmieri dos Santos,26,775872000,Premier League,2017/2018,Defender,Chelsea,279,Italy,5,0,1,0,0,1,4,0,0,0.32,0.32,0.0,0,1.29,70,56,0,279,0.0,412,15,81,26,26.0,Premier League,2018/2019,Defender,Chelsea,660.0,Italy,10.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,66.0,66.0,0.0,0.0,0.0,274.0,296.0,96.0,17.0,26.0,Premier League,2019/2020,Defender,Chelsea,1025.0,Italy,15.0,0.0,0.0,0.0,0.0,1.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,1.76,51.0,68.0,342.0,0.0,0.26,367.0,407.0,144.0,24.0
177,Emre Can,26,758332800,Premier League,2017/2018,Midfielder,Liverpool,2094,Germany,26,3,4,0,0,11,26,8,0,0.3,0.17,0.13,698,1.12,81,81,262,524,0.34,131,68,-1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Erdal Rakip,24,824169600,Premier League,2017/2018,Midfielder,Crystal Palace,0,Sweden,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Eric Bertrand Bailly,26,766108800,Premier League,2017/2018,Defender,Manchester United,999,Côte d'Ivoire,13,1,0,0,0,8,6,2,0,0.09,0.0,0.09,999,0.54,167,77,500,0,0.18,166,400,6,12,26.0,Premier League,2018/2019,Defender,Manchester United,637.0,Côte d'Ivoire,12.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7,53.0,53.0,319.0,0.0,0.28,340.0,310.0,141.0,26.0,26.0,Premier League,2019/2020,Defender,Manchester United,147.0,Côte d'Ivoire,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,147.0,37.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,16.0
180,Eric Dier,26,758592000,Premier League,2017/2018,Midfielder,Tottenham Hotspur,2827,England,34,0,2,0,0,15,27,4,0,0.06,0.06,0.0,0,0.86,105,83,707,1414,0.13,372,178,-1,19,26.0,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1510.0,England,20.0,3.0,0.0,0.0,0.0,6.0,16.0,4.0,0.0,0.18,0.0,0.18,503.0,0.95,94.0,76.0,378.0,0.0,0.24,107.0,278.0,-1.0,7.0,26.0,Premier League,2019/2020,Midfielder,Tottenham Hotspur,1342.0,England,19.0,0.0,2.0,0.0,0.0,4.0,21.0,5.0,0.0,0.13,0.13,0.0,0.0,1.41,64.0,71.0,268.0,671.0,0.34,416.0,99.0,-1.0,15.0
181,Erik Lamela,28,699667200,Premier League,2017/2018,Midfielder,Tottenham Hotspur,832,Argentina,25,2,2,0,0,10,10,4,0,0.43,0.22,0.22,416,1.08,83,33,208,416,0.43,79,50,-1,5,28.0,Premier League,2018/2019,Midfielder,Tottenham Hotspur,971.0,Argentina,19.0,4.0,2.0,0.0,0.0,5.0,11.0,2.0,0.0,0.56,0.19,0.37,243.0,1.02,88.0,51.0,486.0,486.0,0.19,45.0,69.0,-1.0,6.0,28.0,Premier League,2019/2020,Midfielder,Tottenham Hotspur,1210.0,Argentina,25.0,2.0,1.0,0.0,0.0,7.0,12.0,3.0,0.0,0.22,0.07,0.15,605.0,0.89,101.0,48.0,403.0,1210.0,0.22,112.0,170.0,-1.0,8.0
182,Erik Pieters,32,586915200,Premier League,2017/2018,Defender,Stoke City,2720,Netherlands,31,0,1,0,0,6,48,5,0,0.03,0.03,0.0,0,1.59,57,88,544,2720,0.17,300,234,149,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,Premier League,2019/2020,Defender,Burnley,1879.0,Netherlands,24.0,0.0,4.0,0.0,0.0,8.0,34.0,2.0,0.0,0.19,0.19,0.0,0.0,1.63,55.0,78.0,940.0,470.0,0.1,317.0,58.0,130.0,18.0
183,Erwin Mulder,31,604886400,Premier League,2017/2018,Goalkeeper,Swansea City,0,Netherlands,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Ethan Ampadu,20,968889600,Premier League,2017/2018,Midfielder,Chelsea,10,Wales,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,10,0,0,0.0,-1,-1,-1,19,20.0,Premier League,2018/2019,Midfielder,Chelsea,0.0,Wales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Etienne Capoue,32,584582400,Premier League,2017/2018,Midfielder,Watford,1542,France,23,1,0,0,0,5,27,3,0,0.06,0.0,0.06,1542,1.58,57,67,514,0,0.18,195,315,-1,10,32.0,Premier League,2018/2019,Midfielder,Watford,2947.0,France,33.0,1.0,3.0,0.0,0.0,7.0,47.0,15.0,1.0,0.12,0.09,0.03,2947.0,1.44,63.0,89.0,184.0,982.0,0.49,253.0,153.0,-1.0,9.0,32.0,Premier League,2019/2020,Midfielder,Watford,2632.0,France,30.0,0.0,3.0,0.0,0.0,7.0,44.0,8.0,0.0,0.1,0.1,0.0,0.0,1.5,60.0,88.0,329.0,877.0,0.27,402.0,137.0,-1.0,23.0
186,Fabian Delph,31,627609600,Premier League,2017/2018,Midfielder,Manchester City,1746,England,22,1,2,0,0,9,15,2,0,0.15,0.1,0.05,1746,0.77,116,79,873,873,0.1,210,131,-1,12,31.0,Premier League,2018/2019,Midfielder,Manchester City,725.0,England,11.0,0.0,1.0,0.0,0.0,4.0,9.0,2.0,1.0,0.12,0.12,0.0,0.0,1.12,81.0,66.0,242.0,725.0,0.37,295.0,123.0,-1.0,19.0,31.0,Premier League,2019/2020,Midfielder,Everton,1190.0,England,16.0,0.0,0.0,0.0,0.0,3.0,21.0,5.0,1.0,0.0,0.0,0.0,0.0,1.59,57.0,74.0,238.0,0.0,0.38,299.0,295.0,-1.0,15.0
187,Faustino Marcos Alberto Rojo,30,637891200,Premier League,2017/2018,Defender,Manchester United,642,Argentina,9,0,0,0,0,3,8,6,0,0.0,0.0,0.0,0,1.12,80,71,107,0,0.84,250,261,59,15,30.0,Premier League,2018/2019,Defender,Manchester United,211.0,Argentina,5.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.71,53.0,42.0,106.0,0.0,0.85,-1.0,-1.0,-1.0,21.0,30.0,Premier League,2019/2020,Defender,Manchester United,120.0,Argentina,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,60.0,40.0,120.0,0.0,0.75,-1.0,-1.0,-1.0,22.0
